
1 2 3 4 5 6 7 8 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 45 1 39 40 
41 42 24 57 37 0 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 45 1 39 40 
41 42 24 57 0 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 0 1 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 0 30 43 51 
33 14 35 7 25 1 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 30 0 43 51 
33 14 35 7 25 1 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 30 1 43 51 
33 14 35 7 25 0 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 30 1 43 51 
33 14 35 7 0 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 0 1 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 0 36 19 31 
29 17 27 28 26 1 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 36 0 19 31 
29 17 27 28 26 1 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 36 1 19 31 
29 17 27 28 26 0 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 36 1 19 31 
29 17 27 28 0 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 0 1 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 0 62 49 16 
15 18 23 44 56 1 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 62 0 49 16 
15 18 23 44 56 1 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 62 1 49 16 
15 18 23 44 56 0 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 62 1 49 16 
15 18 23 44 0 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 0 1 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 0 6 52 32 
9 38 13 3 11 1 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 6 0 52 32 
9 38 13 3 11 1 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 6 1 52 32 
9 38 13 3 11 0 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 6 1 52 32 
9 38 13 3 0 11 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 0 1 52 32 
9 38 13 3 6 11 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 1 0 52 32 
9 38 13 3 6 11 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 1 11 52 32 
9 38 13 3 6 0 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 1 11 52 32 
9 38 13 3 0 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 1 11 52 32 
9 38 13 0 3 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 0 1 11 52 32 
9 38 13 4 3 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 1 0 11 52 32 
9 38 13 4 3 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 1 3 11 52 32 
9 38 13 4 0 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 1 3 11 52 32 
9 38 13 0 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 1 3 11 52 32 
9 38 0 13 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 0 1 3 11 52 32 
9 38 12 13 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 1 0 3 11 52 32 
9 38 12 13 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 1 13 3 11 52 32 
9 38 12 0 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 1 13 3 11 52 32 
9 38 0 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 1 13 3 11 52 32 
9 0 38 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 0 1 13 3 11 52 32 
9 63 38 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 1 0 13 3 11 52 32 
9 63 38 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 1 38 13 3 11 52 32 
9 63 0 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 1 38 13 3 11 52 32 
9 0 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 1 38 13 3 11 52 32 
0 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

0 1 38 13 3 11 52 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 0 38 13 3 11 52 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 0 13 3 11 52 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 0 3 11 52 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 0 11 52 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 0 52 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 0 32 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 0 
20 9 63 12 4 6 49 16 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 0 
15 18 23 44 62 56 19 31 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 0 
29 17 27 28 36 26 43 51 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 0 
33 14 35 7 30 25 39 40 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 0 
41 42 24 57 45 37 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 47 0 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 47 10 
55 34 5 22 46 8 50 0 
21 58 59 60 53 61 54 2 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 47 10 
55 34 5 22 46 8 50 2 
21 58 59 60 53 61 54 0 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 47 10 
55 34 5 22 46 8 50 2 
21 58 59 60 53 61 0 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 47 10 
55 34 5 22 46 8 0 2 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 0 10 
55 34 5 22 46 8 47 2 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 10 0 
55 34 5 22 46 8 47 2 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 10 2 
55 34 5 22 46 8 47 0 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 10 2 
55 34 5 22 46 8 0 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 39 48 
41 42 24 57 45 37 0 2 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 0 48 
41 42 24 57 45 37 39 2 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 48 0 
41 42 24 57 45 37 39 2 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 48 2 
41 42 24 57 45 37 39 0 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 48 2 
41 42 24 57 45 37 0 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 43 40 
33 14 35 7 30 25 0 2 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 0 40 
33 14 35 7 30 25 43 2 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 40 0 
33 14 35 7 30 25 43 2 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 40 2 
33 14 35 7 30 25 43 0 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 40 2 
33 14 35 7 30 25 0 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 19 51 
29 17 27 28 36 26 0 2 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 0 51 
29 17 27 28 36 26 19 2 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 51 0 
29 17 27 28 36 26 19 2 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 51 2 
29 17 27 28 36 26 19 0 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 51 2 
29 17 27 28 36 26 0 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 49 31 
15 18 23 44 62 56 0 2 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 0 31 
15 18 23 44 62 56 49 2 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 31 0 
15 18 23 44 62 56 49 2 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 31 2 
15 18 23 44 62 56 49 0 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 31 2 
15 18 23 44 62 56 0 49 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 32 16 
20 9 63 12 4 6 0 2 
15 18 23 44 62 56 31 49 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 0 16 
20 9 63 12 4 6 32 2 
15 18 23 44 62 56 31 49 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 16 0 
20 9 63 12 4 6 32 2 
15 18 23 44 62 56 31 49 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 16 2 
20 9 63 12 4 6 32 0 
15 18 23 44 62 56 31 49 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

1 38 13 3 11 52 16 2 
20 9 63 12 4 6 0 32 
15 18 23 44 62 56 31 49 
29 17 27 28 36 26 51 19 
33 14 35 7 30 25 40 43 
41 42 24 57 45 37 48 39 
55 34 5 22 46 8 10 47 
21 58 59 60 53 61 50 54 

